person	organization	position	notes	g_e	wealth_rank	director	category	sector	subsector	org_rank
Gozon / Richard C.	AmerisourceBergen			m-W		1	Corporation	non-financial	pharmaceutical	24
Hagenlocker / Edward E.	AmerisourceBergen			m-W		1	Corporation	non-financial	pharmaceutical	24
Henney / Jane E.	AmerisourceBergen			f-W		1	Corporation	non-financial	pharmaceutical	24
Hyle / Kathleen W.	AmerisourceBergen			f-W		1	Corporation	non-financial	pharmaceutical	24
Long / Michael J.	AmerisourceBergen			m-W		1	Corporation	non-financial	pharmaceutical	24
McGee / Henry W.	AmerisourceBergen			m-B		1	Corporation	non-financial	pharmaceutical	24
Yost / R. David	AmerisourceBergen			m-W		1	Corporation	non-financial	pharmaceutical	24
Brotman / Jeffrey H.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Carson / Benjamin S. Sr.	Costco Wholesale			m-B		1	Corporation	non-financial	retail	25
Decker / Susan L.	Costco Wholesale			f-W		1	Corporation	non-financial	retail	25
DiCerchio / Richard D.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Evans / Daniel J.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Galanti / Richard A.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Gates / William H. Sr.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
James / Hamilton E.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Jelinek / W. Craig	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Libenson / Richard M.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Meisenbach / John W.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Munger / Charles T.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Raikes / Jeffrey S.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Ruckelshaus / Jill S.	Costco Wholesale			f-W		1	Corporation	non-financial	retail	25
Sinegal / James D.	Costco Wholesale			m-W		1	Corporation	non-financial	retail	25
Calgaard / Ronald K.	Valero Energy			m-W		1	Corporation	non-financial	energy	26
Choate / Jerry D.	Valero Energy			m-W		1	Corporation	non-financial	energy	26
Engelhardt / Irl F.	Valero Energy			m-W		1	Corporation	non-financial	energy	26
Escobedo / Ruben M.	Valero Energy			m-L		1	Corporation	non-financial	energy	26
Klesse / William R.	Valero Energy			m-W		1	Corporation	non-financial	energy	26
Marbut / Bob	Valero Energy			m-W		1	Corporation	non-financial	energy	26
Nickles / Don	Valero Energy			m-W		1	Corporation	non-financial	energy	26
Profusek / Robert A.	Valero Energy			m-W		1	Corporation	non-financial	energy	26
Purcell / Susan Kaufman	Valero Energy			f-W		1	Corporation	non-financial	energy	26
Waters / Stephen M.	Valero Energy			m-W		1	Corporation	non-financial	energy	26
Buckley / George W.	Archer Daniels Midland			m-W		1	Corporation	non-financial	food/agriculture	27
